Language,Text
Afrikaans,Niemand sal in slawerny of knegskap gehou word nie alle vorms van slawerny  en handel in slawe sal verbied word  Artikel
Azerbaijani,Heç kim kölə vəziyyətində və ya asılı vəziyyətdə saxlanılmamalıdır köləliyin və kölə  ticarətinin bütün formaları qadağan edilir    Maddə
Belarusian,Nichto nie pavinien utrymłivacca ŭ rabstvie abo ŭ padniavołʹnym stanie rabstva i gandałʹ rabami zabaraniajucca va ŭsich ich vygladach  Artykuł
Cantonese,tiu4 jam6 ho4 jan4 m4 hou2 sai2 wai4 nou4 dai6 waak6 nou4 jik6 ；jat1 cit3 jing4 sik1 ge3 nou4 dai6 zai3 dou6 tung4 maai4 nou4 dai6 maai5 maai6 kam2 di1 dou1 jing3 dong1 jyu5 ji5 gam3 zi2   dai6
Catalan,Ningú no serà sotmès a esclavitud o servitud I esclavitud i el tràfic d esclaus són prohibits en totes llurs formes Article
Cebuano,Walay bisan kinsa nga ibanlod sa pagkaulipon o pugson sa paghimo sa bug at  nga buluhaton kay ginadili ang tanang matang sa paghimo niini  Artikulo
Czech,Nikdo nesmí být držen v otroctví nebo nevolnictví všechny formy otroctví a  obchodu s otroky jsou zakázány   Článek
Danish,Ingen må holdes i slaveri eller trældom  slaveri og slavehandel under alle former skal være forbudt  Artikel
Dutch,Niemand zal in slavernij of horigheid gehouden worden Slavernij en slavenhandel in iedere vorm zijn verboden Artikel
English,No one shall be held in slavery or servitude slavery and the slave trade shall be  prohibited in all their forms   Article
Estonian,Kedagi ei või pidada orjuses või õigusteta seisundis orjus ja orjakaubandus ükskõik millisel kujul on keelatud  Artikkel
Finnish,artikla  4 artikla  4 artikla  4 artikla      Ketään ei saa pitää orjana tai orjuutettuna kaikki orjuuden ja orjakaupan muodot  on kiellettävä
French,Nul ne sera tenu en esclavage ni en servitude l esclavage et la traite des esclaves  sont interdits sous toutes leurs formes  Article
Frisian,Nimmen sil yn slavemij of hearrigens hâlden wurde Slavernij en slavehannel yn elke foarm binne ferbean  Kêst
Galician,Ninguín estará sometido á escravitude nin a servidume a escravitude e a trata de escravos está prohibida en tódalas súas maneiras  Artigo
German,Niemand darf in Sklaverei oder Leibeigenschaft gehalten werden Sklaverei und  Sklavenhandel in allen ihren Formen sind verboten  Artikel
Hawaiian,‘A’ole e noho kauā kaupa’a ke kanaka ua pāpā ‘ia ka noho kauā kuapa’a a me ka ho’okuapa’a ‘ana ma nā ‘ano apau loa  Paukū
Hungarian,cikk   Senkit sem lehet rabszolgaságban vagy szolgaságban tartani a rabszolgaság és a  rabszolgakereskedés minden alakja tilos
Icelandic,grein Engan mann skal hneppa í þrældóm né nauðungarvinnu Þrælahald og þrælaverzlun hverju nafni sem nefnist skulu bönnuð
Igbo,O̟ di̟ghi̟ onye a ga ejigide n o̟no̟du ohu ma o̟ bu̟ odibo̟ a ga amachi i̟kpa ma o̟ bu̟ ire ohu n u̟di̟ o̟ bu̟la  Nkeji edemede
Ilocano,Awan iti siasinoman a mapilit nga agserbi wenno paadipen Maiparit iti aniaman  nga kita a panagpaadipen ken pananginegosyo kadagitoy  Artikulo
Indonesian,Tidak seorang pun boleh diperbudak atau diperhambakan perbudakan dan  perdagangan budak dalam bentuk apapun mesti dilarang   Pasal
Irish,Ní choimeádfar duine ar bith i sclábhaíocht nó faoi dhaoirse  toirmeascfar an  sclábhaíocht agus an trádáil sclábhaithe ina gcuid foirmeacha ar fad    Airteagal
Italian,Nessun individuo potrà essere tenuto in stato di schiavitù o di servitù la  schiavitù e la tratta degli schiavi saranno proibite sotto qualsiasi forma    Articolo
Javanese,Ora keno sawijining uwong didadekake budhak utawa batur maujuding budhak  lan batur tukon kanthi ujud apa wae dadi larangan      BAB
Kazakh,bap Eşkim de ќђldıќta nemese kiriptarlıќta ђstalwı tïis emes Ќђldıќ pen ќђl sawdasına ќanday tџrde bolsa da tıyım salınadı
Kyrgyz,statʼja  Eç kim qulçuluqta ce erksiz awalda boluuğa tijiş emes qulçuluq menen  qul satuuçuluqtun bardyq türlörünö tyjuu salynat
Latvian,pants Nevienu nedrìkst turèt verdzìbâ vai dzimtbútniecìbâ visa veida verdzìba un vergu tirdzniecìba ir jâaizliedz
Lithuanian,straipsnis Niekas negali būti laikomas vergijoje ar nelaisvas visų formų vergija ir prekyba vergais draudžiama
Malagasy,Tsy misy olombelona azo handevozina na hampanompoana Rarna ny fanandevozana sy ny varotra andevo na inona na inona endrika isehoany  ANDININY FAHA
Malay,Tiada sesiapa pun boleh diperhamba atau diperabdikan keabdian dan dagangan  hamba abdi hendaklah dilarang dalam semua bentuknya   Perkara
Mandarin,tiáo rèn hé rén bù dé shǐ wéi nú lì huò nú yì  yī qiē xíng shì de nú lì zhì dù hé nú lì mǎi mài  jūn yīng yú yǐ jīn zhǐ  dì
Maori,Tuawhā Kia kaua te tangata e pupuritia hei taurekareka hei pononga mā tētahi ā me aukati ngā āhuatanga katoa o te whakataurekareka i te tangata o te hoko rānei i te tangata hei taurekareka Rārangi
Nigerian Pidgin,Dem no go hold any bodi as slave Slavery and slave trade na ‘NO GO’ area  for evri angle  ARTICLE
Norwegian,Ingen må holdes i slaveri eller trelldom Slaveri og slavehandel i alle former er  forbudt   Artikkel
Occitan,Degun serà pas tengut en esclavatge ni en servitud l esclavatge e lo trafic d esclaus son proïbits dins totas lors formas  Article
Polish,Nie wolno nikogo czynić niewolnikiem ani nakładać na nikogo służebności niewolnictwo i handel niewolnikami są zakazane we wszystkich swych postaciach  Artykuł
Portuguese,Ninguém será mantido em escravatura ou em servidão a escravatura e o trato dos escravos sob  todas as formas são proibidos     Artigo
Romanian,Nimeni nu va fi ţinut în sclavie nici în servitute sclavajul şi comerţul cu sclavi sînt  interzise sub toate formele lor      Articolul
Russian,Nikto ne dolžen soderžatʹsja v rabstve ili v podnevolʹnom sostojanii rabstvo i rabotorgovlja zapreŝajutsja vo vseh ih vidah  Statʹja
